id_braquage,type_lieu,code_postal,latitude,longitude
1,BQ,18200,46.7692,2.486494118
2,BQ,18200,46.7692,2.486494118
3,AC,47350,44.5943,0.306245455
4,BJ,2300,48.8566,2.3522
5,AU,38130,45.1439,5.7288
6,AU,75010,48.8709,2.35245
7,SM,92220,48.7956,2.308
8,BT,63100,45.7797,3.0863
9,AC,83100,43.1244,5.9284
10,AC,29300,47.85,-3.5124
11,SM,55200,48.7613,5.601415385
12,BJ,59100,50.6942,3.1746
13,BJ,75010,48.8709,2.35245
14,AC,13000,43.2969,5.3811
15,SM,13000,43.2969,5.3811
17,BJ,59100,50.6942,3.1746
18,BJ,59100,50.6942,3.1746
19,BT,14000,49.1859,-0.3591
20,AC,30129,43.8312,4.4851
21,AC,37550,47.3636,0.7399
22,RT,58000,46.9896,3.178175
23,SU,27140,49.3801,1.749
24,BT,69380,45.8643,4.694864286
25,AC,35400,48.65,-2.0167
26,AC,77420,48.85,2.6
27,AC,29300,47.85,-3.5124
128,NP,42000,45.4339,4.39
28,SM,92220,48.7956,2.308
29,NP,72100,48.0004,0.2047
30,NP,91270,48.7029,2.4136
31,NP,76600,49.4938,0.1077
32,NP,2360,48.8566,2.3522
129,BT,73100,45.7353,5.952172727
33,AC,27000,49.0241,1.1508
34,AC,27000,49.0241,1.1508
35,NP,72100,48.0004,0.2047
36,AC,29300,47.85,-3.5124
37,BT,14000,49.1859,-0.3591
38,BT,56600,47.7613,-3.3397
39,SU,27140,49.3801,1.749
40,BT,14000,49.1859,-0.3591
41,BT,63100,45.7797,3.0863
42,NP,77420,48.85,2.6
43,NP,34310,43.2947,3.0138
44,AC,14000,49.1859,-0.3591
45,AC,47350,44.5943,0.306245455
46,NP,92500,48.8765,2.1897
47,NP,93160,48.8498,2.5627
48,NP,80360,49.9548,2.876883333
49,NP,27260,49.2355,0.41679
50,NP,59000,50.633,3.0586
51,NP,6220,48.8566,2.3522
52,NP,60400,49.5731,3.02502963
53,NP,54100,48.6844,6.185
54,NP,25110,47.366,6.363265217
56,BQ,59000,50.633,3.0586
55,NP,6200,48.8566,2.3522
57,BQ,50370,48.7169,-1.191241667
58,BQ,59000,50.633,3.0586
59,AC,77240,48.5574,2.593833333
60,AU,80090,49.9,2.3
61,SM,18100,47.2167,1.99256
62,NP,75010,48.8709,2.35245
63,AU,35000,48.112,-1.6743
64,BJ,64000,43.3,-0.3667
65,NP,64000,43.3,-0.3667
66,BT,44000,47.2173,-1.5534
67,BJ,65310,43.1887,0.0724
68,RT,38500,45.3597,5.59818
69,NP,31000,43.6043,1.4437
70,NP,59000,50.633,3.0586
71,NP,71150,46.849,4.727069231
72,NP,63100,45.7797,3.0863
73,NP,71150,46.849,4.727069231
74,BT,29500,47.9956,-4.0222
75,NP,91270,48.7029,2.4136
76,NP,91190,48.7282,2.131266667
77,SM,77350,48.5195,2.608066667
78,SM,25000,47.2488,6.0182
79,NP,89130,47.6834,3.2777875
80,NP,78160,48.8667,2.0833
81,SM,86200,47.0005,0.119846667
82,NP,38000,45.1715,5.7224
83,NP,74330,45.9231,6.048511111
84,NP,59215,50.3333,3.3
85,SM,78380,48.8622,2.1415
86,NP,13150,43.8623,4.667566667
87,BT,25000,47.2488,6.0182
88,AC,51120,48.6323,3.725603704
89,AU,83990,43.2693,6.6398
90,BT,44000,47.2173,-1.5534
91,NP,75010,48.8709,2.35245
92,NP,75010,48.8709,2.35245
93,AC,46000,44.4491,1.4366
94,BT,34190,43.8781,3.701441667
95,RT,38500,45.3597,5.59818
96,AC,83440,43.623,6.7316875
97,AC,31000,43.6043,1.4437
98,NP,22400,48.4453,-2.521991667
99,NP,30620,43.7691,4.288866667
100,NP,67570,48.473,7.21205
101,BJ,60400,49.5731,3.02502963
102,NP,75010,48.8709,2.35245
103,NP,37600,46.9685,1.00568
104,NP,33100,44.8404,-0.5805
105,BJ,60400,49.5731,3.02502963
106,NP,83370,43.4329,6.7352
107,NP,29500,47.9956,-4.0222
108,NP,92110,48.9002,2.3095
109,NP,31000,43.6043,1.4437
110,NP,25000,47.2488,6.0182
111,NP,64000,43.3,-0.3667
112,NP,34000,43.6109,3.8772
113,NP,12000,44.3417,2.559525
114,AC,75010,48.8709,2.35245
115,NP,28500,48.6771,1.366859091
116,NP,21240,47.3369,5.0089
117,NP,87100,45.8315,1.2578
118,SU,69340,45.7388,4.7722
119,NP,4100,48.8566,2.3522
120,NP,93300,48.9167,2.3833
122,NP,38950,45.203,5.7167
123,NP,25000,47.2488,6.0182
124,NP,25000,47.2488,6.0182
125,NP,44600,47.2833,-2.2
126,BT,34750,43.5333,3.8667
127,NP,57000,49.1191,6.1727
130,BT,73100,45.7353,5.952172727
121,NP,93330,48.8537,2.549
131,BT,49100,47.4738,-0.5477
132,AC,95520,49.0701,2.0628
133,NP,25000,47.2488,6.0182
134,BT,87100,45.8315,1.2578
135,RT,30900,43.8338,4.3596
136,AC,67130,48.5088,7.229376471
137,AC,35000,48.112,-1.6743
138,AC,67130,48.5088,7.229376471
139,RT,26000,44.928,4.8951
140,BT,77860,48.8826,2.861233333
141,NP,69170,45.8754,4.421444444
142,AC,59400,50.1167,3.198575
143,SM,59150,50.7012,3.2181
144,AC,92400,48.8967,2.2567
145,BT,3160,48.8566,2.3522
146,BT,51300,48.7667,4.637865217
147,AC,78680,48.9548,1.8223
148,NP,76190,49.5815,0.76486
149,AC,59290,50.6704,3.1338
150,NP,83100,43.1244,5.9284
151,SU,53000,48.0732,-0.7634
152,SM,78520,49.041,1.69505
153,SM,74960,45.9184,6.0971
154,AC,59290,50.6704,3.1338
155,AU,18000,47.0833,2.4
156,NP,94300,48.8486,2.4377
157,SM,30200,44.1599,4.61395
158,AC,31000,43.6043,1.4437
159,AC,31000,43.6043,1.4437
160,RT,59200,50.7239,3.1612
161,AC,89120,47.89,3.101771429
162,AC,89120,47.89,3.101771429
163,NP,22600,48.1371,-2.776171429
164,AC,42600,45.6833,4.065542105
165,AC,69400,46.0239,4.689483333
166,AC,49300,47.0667,-0.8833
167,AC,78270,49.0622,1.551692857
168,AC,69001,45.7676,4.8406
169,SU,38300,45.5,5.284731579
170,NP,78140,48.782,2.1939
171,NP,34430,43.5776,3.826
172,AC,76000,49.4431,1.0993
173,BQ,80420,50.0226,2.0767
174,SM,80090,49.9,2.3
175,SM,77200,48.85,2.65
176,BJ,69400,46.0239,4.689483333
177,BJ,75010,48.8709,2.35245
178,SM,80320,49.7977,2.829907692
179,AU,31000,43.6043,1.4437
180,SM,76500,49.2867,0.984766667
181,AU,24560,44.679,0.609827778
182,SM,59179,50.3667,3.3
183,BT,38150,45.3483,4.865733333
184,BT,77124,48.9411,2.8615
185,BT,24520,44.8557,0.597711111
186,AC,77200,48.85,2.65
187,SM,62740,50.4284,2.9132
188,BQ,44000,47.2173,-1.5534
189,AC,1000,48.8566,2.3522
190,AU,74000,45.9062,6.1267
191,AC,69740,45.7322,4.9994
192,BT,22100,48.432,-2.060946667
193,RT,62200,50.7167,1.6167
194,NP,22100,48.432,-2.060946667
195,BJ,88800,48.2558,5.967985714
196,SM,7100,48.8566,2.3522
197,NP,89120,47.89,3.101771429
198,SM,76220,49.4885,1.667472222
199,BT,17700,46.1082,-0.736633333
200,BJ,77410,48.9846,2.723736364
201,AC,49300,47.0667,-0.8833
202,AC,92340,48.7789,2.3178
203,AC,78530,48.7763,2.1258
204,BJ,51210,48.85,3.596727778
205,NP,38122,45.4401,4.99198
206,BT,69120,45.7818,4.9209
207,AC,74000,45.9062,6.1267
208,BT,69120,45.7818,4.9209
209,RT,94200,48.8157,2.3849
210,AC,94420,48.8107,2.5736
211,RT,44000,47.2173,-1.5534
212,SM,50800,48.8755,-1.216723529
213,BT,69460,46.0567,4.6282
214,SM,78320,48.7449,1.9508
215,SU,50800,48.8755,-1.216723529
216,SU,78320,48.7449,1.9508
217,AU,95400,48.9833,2.40745
218,AU,74000,45.9062,6.1267
219,RT,74000,45.9062,6.1267
220,SM,60280,49.4495,2.824175
221,AU,73000,45.6216,5.9237
222,BT,31000,43.6043,1.4437
223,AC,75010,48.8709,2.35245
224,NP,31000,43.6043,1.4437
225,BT,69460,46.0567,4.6282
226,BJ,75010,48.8709,2.35245
227,RT,26000,44.928,4.8951
228,NP,31000,43.6043,1.4437
229,AU,69740,45.7322,4.9994
230,SM,27260,49.2355,0.41679
231,SM,34000,43.6109,3.8772
232,BT,77860,48.8826,2.861233333
233,PH,90000,47.6422,6.8539
234,AC,57600,49.1833,6.89535
235,AU,39130,46.5747,5.773228125
236,RT,22440,48.4914,-2.827133333
237,AU,54350,49.5436,5.7834
238,RT,27300,49.1104,0.59334375
239,BJ,88800,48.2558,5.967985714
240,BT,7130,48.8566,2.3522
241,BT,33290,44.9504,-0.626475
242,AC,94300,48.8486,2.4377
243,AU,25300,46.9035,6.350984615
244,AU,94800,48.7939,2.3599
245,BJ,6150,48.8566,2.3522
246,AC,25300,46.9035,6.350984615
247,AU,29100,48.0954,-4.32112
248,RT,56400,47.7213,-2.9687625
289,PH,76220,49.4885,1.667472222
249,BT,87100,45.8315,1.2578
250,BT,31000,43.6043,1.4437
251,BT,14100,49.0761,0.265569565
252,AU,14100,49.0761,0.265569565
253,SM,92340,48.7789,2.3178
254,SM,53000,48.0732,-0.7634
255,AU,74000,45.9062,6.1267
256,SM,92110,48.9002,2.3095
257,BQ,57290,49.2989,6.1
258,BT,77380,48.665,2.5696
259,PH,50130,49.6398,-1.61555
260,AC,89120,47.89,3.101771429
261,BJ,59000,50.633,3.0586
262,BJ,69100,45.7667,4.8833
263,AC,34750,43.5333,3.8667
264,AC,92200,48.8846,2.2697
265,AU,54100,48.6844,6.185
266,SM,56300,48.0167,-2.985533333
267,SU,80700,49.6953,2.778174194
268,AU,75010,48.8709,2.35245
269,AC,3290,48.8566,2.3522
270,BT,87100,45.8315,1.2578
271,BT,89100,48.151,3.284683333
272,RT,85190,46.74,-1.58748
273,SM,95740,49.0522,2.2053
274,AC,45800,47.9,1.9845
275,BT,13000,43.2969,5.3811
276,SM,92340,48.7789,2.3178
277,AC,88350,48.3849,5.540014286
278,AU,59000,50.633,3.0586
279,SM,77186,48.8487,2.6243
280,AC,6420,48.8566,2.3522
281,AC,71640,46.8158,4.71201
282,RT,59100,50.6942,3.1746
283,SM,88270,48.1524,6.207436667
284,AC,93330,48.8537,2.549
285,BT,72380,48.1409,0.165628571
286,AC,38150,45.3483,4.865733333
287,AC,71640,46.8158,4.71201
288,AC,3100,48.8566,2.3522
290,BT,89120,47.89,3.101771429
291,BT,25200,47.5167,6.810333333
292,AC,77000,48.528,2.671925
293,AC,77185,48.8354,2.63
294,SM,91800,48.6942,2.5114
295,BT,56100,47.75,-3.3667
296,AC,38240,45.2199,5.7901
297,AC,20200,42.7028,9.438175
298,RT,69100,45.7667,4.8833
299,BT,80120,50.3153,1.712473333
300,AC,69120,45.7818,4.9209
301,BT,38240,45.2199,5.7901
302,BT,24430,45.1288,0.61965
303,AC,20220,42.617,8.91155
304,AU,92290,48.7651,2.2665
305,BQ,80420,50.0226,2.0767
306,SM,77200,48.85,2.65
307,AU,30160,44.3,4.08504
308,BT,90000,47.6422,6.8539
309,US,69170,45.8754,4.421444444
310,AC,56430,48.0826,-2.302042857
311,AC,75010,48.8709,2.35245
312,BT,25000,47.2488,6.0182
313,AC,24530,45.3705,0.703342857
314,AU,77310,48.5571,2.5538
315,RT,95200,49,2.3833
316,AC,44600,47.2833,-2.2
317,AC,92140,48.803,2.2669
318,RT,53000,48.0732,-0.7634
319,BT,84800,43.9191,5.101
320,SM,76400,49.7378,0.398325
321,SM,57360,49.2567,6.1341
322,AC,62500,50.7354,2.200781818
323,AU,27200,49.0929,1.4633
324,AU,92390,48.9394,2.3148
325,BQ,95220,49.0211,2.16235
326,AU,25000,47.2488,6.0182
327,BT,69120,45.7818,4.9209
328,BT,44000,47.2173,-1.5534
329,PH,59160,50.6455,3.01025
330,AC,7200,48.8566,2.3522
331,BT,26500,44.956,4.9102
332,SM,80200,49.8633,2.927305714
333,AC,67750,48.2871,7.4214
334,BT,60200,49.4179,2.8261
335,AC,26100,45.0464,5.0562
336,BT,77380,48.665,2.5696
337,SU,38000,45.1715,5.7224
